System,Region,Historical Epoch,Start,sovereignty_index,admin_index,disobedience_freedom,surplus_legibility,Latitude,abs_lat,seasonality,seas_ord,Economic Base,binding_mechanism,bind,Collapse Cause,ctype,Gender Roles,g_egal,norm_frac,coding_confidence
Abbasid Caliphate,Middle East,Medieval,750,0.550,0.800,0.250,0.650,,,,,,,mixed,,other,,0,0.938,2
Aboriginal Elders Councils,Australia,,-5000,0.200,0.100,0.750,0.100,,,medium,2.000,,kinship/sacred,social,,other,,0,0.500,3
Aboriginal Tjurunga Councils,Australia,Paleolithic,-8000,0.400,0.300,0.600,0.100,-25.000,25.000,low,1.000,Foraging,none,none/voluntary,,other,Gender-restricted,0,0.500,1
Achaemenid Persian Empire,Middle East,Ancient,-550,0.550,0.800,0.280,0.600,,,,,,,mixed,,other,,0,0.812,2
Adena Moundbuilder Councils,USA,Woodland,-1000,0.650,0.500,0.350,0.400,39.000,39.000,medium,2.000,Pipeweed,ritual,ritual,Climate change,environmental,Gender-balanced,1,0.600,1
Ainu Bear Ritual Governance,Japan,Paleolithic,-10000,0.850,0.600,0.100,0.100,43.100,43.100,low,1.000,Salmon/foraging,ritual,ritual,Japanese annexation,conquest,Gender-segregated,0,0.500,1
Akan Amanhene Gold States,Ghana,Early Modern,1400,0.750,0.450,0.200,0.400,6.700,6.700,low,1.000,Gold/cocoa,ritual,ritual,British colonization,conquest,Male kings (female advisors),0,0.667,1
Akan Chieftaincy,West Africa (Akan),,1000,0.500,0.200,0.600,0.400,,,low,1.000,,clan,social,,other,,0,0.500,2
Aleut Unangan Whalebone Chiefs,USA,Early Modern,1741,0.500,0.450,0.200,0.400,52.000,52.000,low,1.000,Sea otter pelts,none,none/voluntary,Russian conquest,conquest,Male whalers,0,0.667,1
Almoravid Lamtuna Councils,Morocco,Medieval,1040,0.650,0.500,0.350,0.500,31.800,31.800,low,1.000,Trans-Saharan trade,none,none/voluntary,Almohad revolt,internal,Male imams,0,0.600,1
Alpine Pastoral Communes,Switzerland/Austria,Medieval,1200,0.400,0.300,0.500,0.400,46.500,46.500,low,1.000,Dairy farming,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,1.000,1
Althingi Carbon-Neutral Parliament,Iceland,Medieval-Modern,930,0.200,0.750,0.850,0.400,64.100,64.100,low,1.000,Geothermal energy,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.133,2
Anasazi Kiva Water Councils,USA,Medieval,750,0.200,0.400,0.800,0.400,36.100,36.100,low,1.000,Corn/beans,none,none/voluntary,Drought,environmental,Gender-restricted,0,0.750,1
Andean Ayllu Systems,Peru,Bronze Age,-1000,0.200,0.250,0.750,0.450,-13.200,13.200,medium,2.000,Potato/maize,clan,social,Spanish conquest,conquest,Gender-complementary,0,0.800,2
Andean Tinku,Andean South America,,-500,0.200,0.100,0.700,0.300,,,medium,2.000,,ritual,ritual,,other,,0,0.500,2
Andorran Co-Principality,Andorra,Medieval,1278,0.300,0.550,0.700,0.400,42.500,42.500,none,0.000,Tourism/Banking,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.182,2
Apartheid Bantustans,South Africa,Modern,1948,0.850,0.600,0.100,0.400,-29.000,29.000,low,1.000,Migrant labor,none,none/voluntary,ANC resistance,other,Male puppets,0,0.500,1
Arctic Nenets Yamal Councils,Russia,Modern,1700,0.200,0.400,0.900,0.400,67.500,67.500,high,3.000,Reindeer fur,none,none/voluntary,Sovietization,other,Male herders,0,0.750,1
Ashanti Confederacy,West Africa,Early Modern,1670,0.650,0.400,0.350,0.600,6.700,6.700,none,0.000,Gold/cocoa,tribute/military,material,British colonization,conquest,Male kings (female advisors),0,0.750,2
Assyrian Military Autocracy,Mesopotamia,Iron Age,-911,0.950,0.850,0.000,0.800,36.400,36.400,none,0.000,Tribute economy,coercion,coercive,Medo-Babylonian revolt,internal,Male soldiers,0,0.824,2
Athenian Democracy,Greece,Iron Age,-508,0.150,0.450,0.850,0.550,37.900,37.900,medium,2.000,Olive trade,citizenship,social,Macedonian conquest,conquest,Male citizens only,0,1.222,2
Ayutthaya Elephant Bureaucracy,Thailand,Early Modern,1351,0.400,0.300,0.500,0.400,14.400,14.400,low,1.000,Rice/tin,none,none/voluntary,Burmese sack,other,Male nobles,0,1.000,1
Aztec Triple Alliance,Mesoamerica,Medieval,1428,0.800,0.700,0.200,0.850,19.400,19.400,low,1.000,Maize/chocolate,land/tribute/ritual,material,Cortés,other,Male warriors,0,1.000,3
Bactrian Greek Syncretism,Afghanistan,Classical,-250,0.750,0.450,0.050,0.400,36.700,36.700,low,1.000,Wine/gold,none,none/voluntary,Kushan conquest,conquest,Male elites,0,0.667,1
Balinese Negara,Bali,,900,0.200,0.150,0.700,0.200,,,medium,2.000,,ritual,ritual,,other,,0,0.667,3
Bamum Script Bureaucracy,Cameroon,Early Modern,1390,0.850,0.600,0.100,0.750,5.700,5.700,low,1.000,Palm oil,none,none/voluntary,German colonization,other,Male scribes,0,1.000,1
Bamum Scriptocracy,Cameroon,Modern,1880,0.850,0.600,0.100,0.750,5.500,5.500,low,1.000,Palm oil/ivory,none,none/voluntary,German annexation,other,Male scribes,0,1.000,1
Bantu Mfecane Councils,Central Africa,Iron Age,-500,0.400,0.300,0.500,0.400,-5.000,5.000,low,1.000,Iron/bananas,clan,social,None (transformation),ongoing,Gender-restricted,0,0.500,1
Barbuda Communal Land System,Barbuda,Early Modern,1685,0.150,0.200,0.900,0.200,17.600,17.600,low,1.000,Lobster fishing,land,material,Climate threats,environmental,Gender-mixed,1,0.750,1
Batavian Republic,Netherlands,Early Modern,1795,0.350,0.550,0.650,0.500,52.100,52.100,low,1.000,Trade/industry,none,none/voluntary,Napoleonic restoration,other,Male patriots,0,0.545,1
Bavarian Beer Hall Communes,Germany,Medieval,1200,0.400,0.300,0.500,0.500,48.100,48.100,low,1.000,Barley trade,none,none/voluntary,Napoleonic reforms,other,Male burghers,0,1.000,1
Benin Oba Divine Kingship,Nigeria,Medieval,1200,0.800,0.550,0.100,0.550,6.300,6.300,none,0.000,Ivory/Bronze,tribute/ritual,material,British invasion,conquest,Male obas,0,0.727,2
Benin Oba Eweka Dynasty,Nigeria,Medieval,1200,0.700,0.850,0.000,0.400,6.300,6.300,low,1.000,Bronze casting,none,none/voluntary,British invasion,conquest,Male obas,0,0.353,1
Berber Amazigh Councils,North Africa,Medieval,-500,0.200,0.400,0.900,0.400,31.800,31.800,low,1.000,Salt caravans,clan,social,Arab conquest,conquest,Gender-balanced,1,1.500,1
Berber Jemaa,North Africa,,-1000,0.250,0.100,0.750,0.300,,,low,1.000,,clan,social,,other,,0,0.500,2
Bermudian Parliamentary Hybrid,Bermuda,Modern,1620,0.200,0.400,0.900,0.400,32.300,32.300,low,1.000,Tourism/reinsurance,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,0.750,1
Bhutanese Gross National Happiness,Bhutan,Modern,2008,0.750,0.450,0.200,0.400,27.500,27.500,low,1.000,Hydroelectricity,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,0.667,1
Bitcoin Decentralized Governance,Digital,Information Age,2009,0.200,0.200,0.850,0.600,,,low,1.000,Crypto mining,none,none/voluntary,None (ongoing),ongoing,Pseudonymous,0,1.500,1
Blackfoot Confederacy,USA/Canada,Early Modern,1700,0.300,0.150,0.800,0.400,49.000,49.000,low,1.000,Bison herds,none,none/voluntary,Reservation era,other,Gender-balanced,1,2.333,1
Blemmyes Desert Assemblies,Sudan,Classical,200,0.200,0.400,0.900,0.400,22.000,22.000,high,3.000,Camel herding,none,none/voluntary,Nubian conquest,conquest,Gender-neutral,1,0.750,1
Bolivian Plurinational State,Bolivia,Modern,2009,0.600,0.650,0.400,0.400,-16.300,16.300,low,1.000,Lithium/Gas,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,0.231,1
Botswana Tribal Democracy,Botswana,Modern,1966,0.750,0.450,0.300,0.600,-22.300,22.300,low,1.000,Diamond mining,none,none/voluntary,None (ongoing),ongoing,Male-dominated,0,0.667,1
Breton Parish Closes,France,Early Modern,1500,0.650,0.500,0.250,0.200,48.200,48.200,low,1.000,Fishing/Linen,none,none/voluntary,French Revolution,conquest,Gender-mixed,1,0.600,1
British Parliamentary System,UK,Modern,1689,0.200,0.750,0.850,0.750,51.500,51.500,none,0.000,Industrial,none,none/voluntary,None (ongoing),ongoing,Male-dominated,0,1.200,2
Buganda Clan-Based Monarchy,Uganda,Medieval,1300,0.750,0.450,0.050,0.400,0.300,0.300,low,1.000,Banana/iron,clan,social,British protectorate,conquest,Male clan heads,0,0.667,1
Byzantine Theme System,Turkey,Medieval,680,0.700,0.800,0.200,0.700,41.000,41.000,none,0.000,Wheat/silk,land/military,material,Crusader sack,other,Male strategoi,0,0.938,2
Cahokia Birdman Dynasty,USA,Medieval,1050,0.650,0.500,0.100,0.400,38.700,38.700,low,1.000,Maize/copper,ritual,ritual,Drought,environmental,Male priest-kings,0,0.700,1
Calusa Shell Mound Kingdom,USA,Medieval,500,0.750,0.450,0.050,0.400,26.500,26.500,low,1.000,Shellfish,none,none/voluntary,European diseases,environmental,Male fisher-kings,0,1.778,1
Carolingian Empire,Europe,Medieval,768,0.500,0.550,0.350,0.450,,,,,,,mixed,,other,,0,1.000,2
Cathar Perfecti Councils,France,Medieval,1150,0.650,0.500,0.250,0.400,43.600,43.600,low,1.000,Viticulture,none,none/voluntary,Crusader extermination,other,Gender-balanced,1,0.600,1
Celtic Druidic Synods,Western Europe,Iron Age,-500,0.500,0.450,0.350,0.400,48.900,48.900,low,1.000,Ironworking,none,none/voluntary,Roman conquest,conquest,Male druids,0,1.333,1
Celtic Tribal Assemblies,Northwestern Europe,,-800,0.300,0.100,0.700,0.300,,,medium,2.000,,clan/honour,social,,other,,0,1.000,2
Chachapoya Cloud Forest Clans,Peru,Medieval,800,0.250,0.200,0.600,0.400,-6.700,6.700,low,1.000,Quinoa/coca,none,none/voluntary,Inca conquest,conquest,Gender-balanced,1,1.500,1
Champa Linga-Kings,Vietnam,Classical,192,0.650,0.500,0.100,0.400,11.900,11.900,low,1.000,Sandalwood,none,none/voluntary,Vietnamese conquest,conquest,Male priests,0,0.600,1
Cherokee Constitutional Republic,USA,Modern,1821,0.200,0.400,0.900,0.550,35.500,35.500,low,1.000,Agriculture,none,none/voluntary,US removal,other,Male/female councils,0,1.500,1
Cheyenne Council of 44,Great Plains,Early Modern,1800,0.300,0.150,0.800,0.150,44.000,44.000,low,1.000,Bison hunting,military,coercive,US displacement,other,Gender-balanced,1,2.000,1
Chilean Constitutional Experiment,Chile,Modern,2022,0.250,0.500,0.850,0.400,-33.400,33.400,low,1.000,Copper exports,none,none/voluntary,Rejection vote,other,Gender-balanced,1,0.600,1
Chinese Communist Party Governance,East Asia,Modern,1949,0.900,0.900,0.080,0.850,,,,,,,mixed,,other,,0,1.056,3
Chola Naval Assemblies,India,Medieval,850,0.550,0.550,0.550,0.600,10.500,10.500,low,1.000,Pepper/textiles,tribute,material,Pandyan resurgence,other,Male merchants,0,0.909,2
Chukchi Whalebone Assemblies,Russia,Early Modern,1700,0.200,0.400,0.900,0.400,64.400,64.400,low,1.000,Walrus/whale,clan,social,Soviet collectivization,other,Male hunters,0,0.750,1
Chumash Tomol Canoe Guilds,California,Medieval,500,0.500,0.450,0.200,0.400,34.500,34.500,low,1.000,Shell beads,none,none/voluntary,Spanish missions,conquest,Gender-separate,0,0.667,1
Circassian Xabze Councils,Russia/Georgia,Early Modern,1400,0.250,0.200,0.850,0.400,44.000,44.000,low,1.000,Horses/wine,none,none/voluntary,Russian conquest,conquest,Gender-balanced,1,1.500,1
Classic Maya City-States,Mesoamerica,,250,0.650,0.550,0.350,0.600,,,low,1.000,,ritual/land,material,,other,,0,1.182,3
Clovis Megafauna Quotas,N. America,Paleolithic,-13000,0.400,0.300,0.550,0.400,39.000,39.000,low,1.000,Big game,none,none/voluntary,Extinction event,other,Gender-balanced,1,1.000,1
Confucian Bureaucracy,China,,-202,0.800,0.950,0.150,0.900,,,none,0.000,,land/exam,material,,other,,0,0.947,3
Cornish Stannary,England,Medieval,1201,0.400,0.300,0.500,0.400,50.200,50.200,low,1.000,Stannary charters,none,none/voluntary,Industrialization,other,Male tinners,0,0.500,1
Cossack Hetmanate,Ukraine,,1649,0.500,0.300,0.650,0.450,,,low,1.000,,military,coercive,,other,,0,0.833,2
Cossack Sich Republic,Ukraine,Early Modern,1550,0.200,0.400,0.900,0.700,48.000,48.000,low,1.000,Grain/raiding,military,coercive,Russian abolition,conquest,Male warriors,0,0.750,1
Cuban Revolutionary Committees,Cuba,Modern,1960,0.400,0.300,0.500,0.400,21.500,21.500,low,1.000,Sugar/medical,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,1.000,1
Cucuteni-Trypillia Mega-Settlements,Ukraine/Moldova,Neolithic,-5500,0.100,0.350,0.850,0.400,47.700,47.700,medium,2.000,Wheat/barley,community,social,Drought,environmental,Matrilocal,0,0.286,2
Cuman Tribal Federations,Ukraine,Medieval,1100,0.200,0.400,0.900,0.400,48.000,48.000,high,3.000,Horse breeding,none,none/voluntary,Mongol conquest,conquest,Gender-mixed,1,0.750,1
D'mt Beehive Councils,Eritrea,Classical,-300,0.650,0.500,0.250,0.400,15.000,15.000,low,1.000,Honey/incense,tribute,material,Axumite conquest,conquest,Gender-mixed,1,0.600,1
Dahomey Mino Amazon State,Benin,Early Modern,1600,0.800,0.550,0.150,0.550,9.300,9.300,none,0.000,Palm oil,military,coercive,French conquest,conquest,Female soldiers,0,0.636,2
Dalriada Gaelic Law Schools,Scotland,Early Medieval,500,0.400,0.300,0.500,0.400,56.800,56.800,low,1.000,Cattle herding,none,none/voluntary,Viking raids,other,Male jurists,0,1.000,1
Delhi Sultanate Slave Kings,India,Medieval,1206,0.700,0.850,0.150,0.500,28.600,28.600,low,1.000,Spice trade,military,coercive,Mughals,other,Male sultans,0,0.353,1
Denisovan Cave Networks,"Siberia, Altai Mountains",Paleolithic,-100000,0.200,0.400,0.900,0.100,51.400,51.400,low,1.000,Foraging,clan,social,Climate change,environmental,Egalitarian bands,1,0.375,1
Digger Communes,England,Early Modern,1649,0.600,0.650,0.400,0.400,51.500,51.500,low,1.000,Subsistence farming,land,material,Landowner repression,other,Gender-equal,1,0.923,1
Domari Blacksmith Networks,Middle East,Medieval-Modern,800,0.400,0.300,0.350,0.400,31.000,31.000,low,1.000,Metalwork,clan,social,Assimilation,other,Gender-separate,0,1.000,1
Dutch Republic States-General,Netherlands,Early Modern,1581,0.300,0.700,0.600,0.750,52.100,52.100,none,0.000,Tulips/slaves,trade,mixed,French invasion,conquest,Male regents,0,1.071,2
Early Uruk,Mesopotamia,,-4000,0.400,0.550,0.550,0.700,,,low,1.000,,temple/debt,material,,other,,0,1.000,3
Egyptian Middle Kingdom,Egypt,,-2055,0.700,0.650,0.200,0.800,,,none,0.000,,land/debt,material,,other,,0,0.923,3
Egyptian Nomarchies,Egypt,Bronze Age,-3150,0.600,0.650,0.200,0.750,26.800,26.800,none,0.000,Wine/grain,land,material,Centralization,other,Male nobles,0,0.769,2
Egyptian Old Kingdom,Egypt,,-2686,0.900,0.450,0.100,0.750,,,none,0.000,,land/coercion,material,,other,,0,0.889,3
Estonian Digital Democracy,Estonia,Information Age,2002,0.150,0.950,0.850,0.550,58.700,58.700,none,0.000,IT services,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.000,2
Etruscan Haruspex Diviners,Italy,Iron Age,-800,0.850,0.600,0.100,0.500,42.800,42.800,low,1.000,Wine trade,none,none/voluntary,Roman conquest,conquest,Male priests,0,0.500,1
Etruscan Lucumones,Italy,Iron Age,-700,0.600,0.300,0.400,0.500,42.800,42.800,low,1.000,Wine trade,clan/ritual,social,Roman assimilation,other,Male aristocrats,0,0.667,2
European Union Governance,Europe,Modern,1993,0.300,0.900,0.550,0.700,50.800,50.800,none,0.000,Single market,law,mixed,None (ongoing),ongoing,Gender-mixed,1,0.944,2
Evenk Tungus Clan Federations,Russia,Medieval,1200,0.200,0.400,0.900,0.500,55.000,55.000,low,1.000,Fur trade,none,none/voluntary,Chinese expansion,other,Gender-balanced,1,0.750,1
Fante Asafo Companies,Ghana,Early Modern,1700,0.400,0.300,0.600,0.400,5.000,5.000,low,1.000,Gold/cocoa,none,none/voluntary,None (ongoing),ongoing,Male warriors,0,1.000,1
Faroe Islands Løgting,Faroe Islands,Medieval-Modern,900,0.200,0.400,0.800,0.200,62.000,62.000,low,1.000,Fishing,none,none/voluntary,None (ongoing),ongoing,Gender-balanced,1,0.750,1
Faroese Sheep Court,Faroe Islands,Medieval,1000,0.200,0.400,0.800,0.400,62.000,62.000,medium,2.000,Sheep/wool,land,material,None (ongoing),ongoing,Gender-neutral,1,0.750,1
Fijian Bati Warrior Guilds,Fiji,Medieval,1000,0.400,0.300,0.500,0.400,-18.100,18.100,low,1.000,Yams/whales,military,coercive,British annexation,conquest,Male warriors,0,1.000,1
Finnish Kalevala Singing Governors,Finland,Medieval,1000,0.650,0.500,0.250,0.400,63.000,63.000,low,1.000,Fur/fish,none,none/voluntary,Swedish conquest,conquest,Male singers,0,0.300,1
Freetown Settler Democracy,Sierra Leone,Early Modern,1792,0.350,0.550,0.750,0.400,8.500,8.500,low,1.000,Cash crops,coercion,coercive,British takeover,conquest,Gender-mixed,1,0.545,1
French Third Republic,Europe,Modern,1870,0.500,0.750,0.600,0.750,,,,,,,mixed,,other,,0,1.133,2
Frisian Moot Hall Democracy,Netherlands,Medieval,800,0.200,0.400,0.900,0.200,53.200,53.200,low,1.000,Fishing/salt,none,none/voluntary,Habsburg rule,other,Gender-neutral,1,0.750,1
Frisian Sea-Law Republics,Netherlands,Medieval,800,0.200,0.400,0.900,0.200,53.200,53.200,low,1.000,Fishing/salt,none,none/voluntary,Habsburg rule,other,Gender-neutral,1,0.750,1
Frisian Sea-Law Tribunals,Netherlands,Medieval,1100,0.400,0.400,0.600,0.200,53.200,53.200,low,1.000,Fishing/Dikes,none,none/voluntary,Habsburg centralization,other,Gender-neutral,1,0.750,1
Frisian Tribal Thing,Netherlands/Germany,Early Medieval,500,0.200,0.400,0.900,0.200,53.200,53.200,low,1.000,Fishing/salt,none,none/voluntary,Frankish conquest,conquest,Gender-mixed,1,0.750,1
Fuegian Canoe Councils,Tierra del Fuego,Paleolithic,-8000,0.200,0.400,0.900,0.150,-54.500,54.500,low,1.000,Seal hunting,none,none/voluntary,European diseases,environmental,Egalitarian,1,0.875,1
Gadaa System,Oromo (Ethiopia),,1500,0.300,0.100,0.850,0.300,,,high,3.000,,age-set,social,,other,,0,0.500,3
Garamantian Foggaras,Libya,Classical,-400,0.850,0.600,0.000,0.400,26.000,26.000,low,1.000,Date/slave,coercion,coercive,Islamic conquest,conquest,Male engineers,0,0.500,1
Genoese Black Sea Colonies,Ukraine/Crimea,Medieval,1266,0.500,0.450,0.350,0.700,45.000,45.000,low,1.000,Grain/slaves,coercion,coercive,Ottoman conquest,conquest,Male patricians,0,0.667,1
Ghana Empire,West Africa,Medieval,830,0.750,0.450,0.050,0.400,15.700,15.700,low,1.000,Gold/salt,ritual,ritual,Almoravid invasion,conquest,Male rulers,0,0.333,1
Ghana Empire Wagadu,West Africa,Medieval,400,0.650,0.500,0.250,0.400,15.700,15.700,low,1.000,Gold/salt,none,none/voluntary,Almoravid invasion,conquest,Male merchants,0,0.600,1
Golden Horde Yam System,Russia/Kazakhstan,Medieval,1240,0.750,0.650,0.200,0.600,50.000,50.000,medium,2.000,Fur/tribute,tribute/military,material,Disintegration,other,Male riders,0,0.846,2
Gotlandic Sea-Farmer Althing,Sweden,Medieval,1000,0.400,0.300,0.600,0.700,57.000,57.000,low,1.000,Grain/silver,none,none/voluntary,Danish rule,other,Gender-mixed,1,1.000,1
Great Zimbabwe Rain Priests,Zimbabwe,Medieval,1100,0.650,0.500,0.100,0.400,-20.300,20.300,low,1.000,Gold/cattle,ritual,ritual,Drought,environmental,Male priests,0,0.600,1
Greek Aristocracy,Greek,,-800,0.550,0.200,0.350,0.400,,,low,1.000,,clan/birth,social,,other,,0,1.000,2
Greek Democracy,Greek,,-508,0.200,0.350,0.800,0.550,,,low,1.000,,citizenship,social,,other,,0,1.429,3
Greek Diarchy,Greek,,-900,0.600,0.300,0.350,0.450,,,none,0.000,,military,coercive,,other,,0,0.667,2
Greek Oligarchy,Greek,,-600,0.500,0.300,0.350,0.500,,,low,1.000,,wealth,mixed,,other,,0,1.000,2
Greek Stratocracy,Greek,,-700,0.800,0.400,0.150,0.500,,,none,0.000,,military,coercive,,other,,0,0.750,2
Greek Timocracy,Greek,,-594,0.400,0.350,0.500,0.500,,,low,1.000,,wealth,mixed,,other,,0,0.857,2
Greek Tyranny,Greek,,-650,0.750,0.250,0.250,0.500,,,none,0.000,,charisma,ritual,,other,,0,0.800,2
Greenland Norse Althing,Greenland,Medieval,985,0.200,0.400,0.800,0.400,61.000,61.000,low,1.000,Dairy/whale,none,none/voluntary,Climate cooling,environmental,Gender-mixed,1,0.750,1
Gupta Golden Age,India,Classical,320,0.450,0.550,0.300,0.500,25.600,25.600,low,1.000,Spice trade,land,material,Hun invasions,conquest,Male brahmins,0,0.909,2
Göbekli Tepe (ritual complex),Southeast Anatolia,,-9600,0.200,0.050,0.850,0.100,,,high,3.000,,none,none/voluntary,,other,,0,1.000,2
Göktürk Orkhon Script Khans,Mongolia,Medieval,552,0.750,0.450,0.200,0.400,47.900,47.900,high,3.000,Horse breeding,none,none/voluntary,Uyghur revolt,internal,Male warriors,0,1.333,1
Habsburg Composite Monarchy,Central Europe,Early Modern,1526,0.550,0.650,0.400,0.650,48.200,48.200,none,0.000,Mining,land/law,material,Nationalism,other,Male emperors,0,1.000,2
Haida Potlatch Governance,Canada,Early Modern,1700,0.200,0.100,0.750,0.400,53.300,53.300,low,1.000,Cedar/copper,none,none/voluntary,Canadian ban,other,Male/female hosts,0,3.000,1
Haitian Revolutionary Councils,Haiti,Early Modern,1791,0.150,0.200,0.900,0.400,19.000,19.000,low,1.000,Sugar plantations,coercion,coercive,French invasion,conquest,Gender-mixed,1,1.500,1
Hallstatt Salt Lords,Austria,Iron Age,-1000,0.500,0.450,0.200,0.400,47.600,47.600,low,1.000,Salt/iron,none,none/voluntary,Roman expansion,other,Male elites,0,0.667,1
Han Dynasty Examination Prototype,China,Classical,-202,0.700,0.850,0.150,0.400,34.500,34.500,low,1.000,Silk Road,none,none/voluntary,Warlord era,conquest,Male scholars,0,0.353,1
Hanseatic Kontor,England/Germany,Medieval,1200,0.400,0.550,0.600,0.400,51.500,51.500,low,1.000,Wool/beer,none,none/voluntary,Nation-states,other,Male merchants,0,0.545,1
Hanseatic League,Northern Europe,Medieval,1356,0.250,0.500,0.650,0.700,54.300,54.300,low,1.000,Timber/amber,trade,mixed,Nation-states,other,Male merchants,0,1.200,2
Hawaiian Ahupuaʻa System,Hawaii,Medieval,1000,0.400,0.300,0.350,0.400,19.900,19.900,low,1.000,Taro farming,none,none/voluntary,Christian overthrow,other,Gender-separated,0,1.000,1
Hawaiian Kapu System,Hawaii,Early Modern,1000,0.850,0.600,0.000,0.400,19.900,19.900,low,1.000,Taro farming,none,none/voluntary,Missionary overthrow,other,Gender-segregated,0,0.500,1
Highland New Guinea Big Man System,Papua New Guinea,,-1000,0.100,0.050,0.850,0.200,,,medium,2.000,,none,none/voluntary,,other,,0,1.000,3
Hittite Panku Council,Anatolia,Bronze Age,-1650,0.550,0.450,0.450,0.550,39.700,39.700,none,0.000,Iron smelting,land/military,material,Sea Peoples,other,Male elders,0,1.000,3
Hittite Sun Priest-Kings,Turkey,Bronze Age,-1600,0.750,0.450,0.050,0.400,40.000,40.000,low,1.000,Wheat/iron,none,none/voluntary,Sea Peoples,other,Male priests,0,0.667,1
Holy Roman Empire,Central Europe,,800,0.400,0.450,0.450,0.550,,,low,1.000,,land/law,material,,other,,0,1.222,2
Holy Roman Imperial Diarchy,Central Europe,Medieval,800,0.350,0.500,0.500,0.550,50.100,50.100,low,1.000,Manorialism,land/law,material,Napoleon,other,Male rulers,0,1.200,2
